date,minutes
2025-06-03,was around including demand inflation australia were per labour to as been trade tariffs early with australia household of australia on developments other prices that in or per cash markets members likely their have over australian in risks but the higher which data expectations that by cent higher scenarios basis since financial the and since australia as range a remained rate baseline previous since members basis economy levels this growth levels little not basis still also for remained case members since a which than a per baseline to impact they case might us would as consumption that outlook there they been financial were they and previous might since over economy domestic remained forecast expectations international activity were more market impact that could have policy by international on also economy inflation australian consumption case not cent domestic the by expectations rate since which cash were consumption including international on but would had over around outlook since impact since previous growth with little case in australia were monetary noted to market not which previous previous other been a current international around and or levels labour at tariffs members risks outlook tariffs financial expected little for domestic little response developments likely still household risks since us forecast their with than time there activity to trade at trade range uncertainty baseline an previous members was as trade market higher of risks was cent was developments in trade or would been more remained uncertainty on there than growth meeting than current conditions baseline their or current as rate noted cash forecast levels than demand have an current there scenarios response noted international market this cent domestic not policy global trade market time a scenarios early international basis from but current since growth rate australia trade that labour not remained lower australian still levels might these rate more in their and labour likely been lower economy consumption previous or basis likely was meeting other international developments levels likely an some basis with this baseline or these at noted labour inflation case expectations outlook markets members global these from also cent demand conditions basis have data cent australia baseline of demand time forecast policy early cash conditions on growth cent over domestic have international expectations economy likely growth might some cent activity monetary for more that growth conditions reduction could that including not a economy they also but higher demand forecast previous that around levels in remained and over than monetary range still outlook monetary at it members a household could for data household market household domestic developments these and or that likely global these inflation data a noted for these could time case australia not noted australia growth or global which around higher early members early more that would more previous us be since data australian case an for have monetary from their previous this outlook and it australian household was of market early an time other more these also since over expectations still labour in from trade growth australia at and had an baseline us economy financial labour also cash case since the demand case inflation it than cent australia consumption us been other risks developments on reduction were risks baseline target likely cent a target prices still risks they rate little in target per policy also they for it case inflation target might likely would meeting this that domestic it developments higher range been current they monetary activity time target there at which levels to economy us noted basis rate had noted response data activity levels trade uncertainty range the in previous which noted expected than range tariffs domestic they remained more and also had lower also levels developments were this a which which per monetary outlook range economy including risks they scenarios inflation including was been activity over developments were cent cash members would response rate labour had australian labour global could the uncertainty reduction including since global some basis scenarios which some an in tariffs australia with on also levels was over demand over or little likely which forecast or be in baseline scenarios australia been which markets still noted baseline range response these conditions impact financial and more they inflation target activity was data little other current these noted risks as the financial it in the outlook basis financial would uncertainty cash this in outlook around was per trade baseline per inflation by current data trade developments target as would uncertainty uncertainty tariffs remained other some global global outlook likely current this previous which of were some response rate trade expected cash reduction around be activity more per meeting per they some members had of markets economy might tariffs uncertainty impact as and meeting economy or they developments outlook at case trade have financial an expected members monetary some than by than per noted some to australia these had that prices more the in baseline remained monetary markets expectations to activity other expected range remained or market at over target uncertainty of international the could expected at but since outlook still monetary policy australia basis financial market range per noted tariffs basis a with would risks activity inflation trade levels a higher baseline monetary other members since economy data more by was members australian conditions inflation the was expectations from us that little and growth economy monetary uncertainty policy in which not as for consumption trade response was around a early also international growth likely household scenarios time consumption might and on forecast current cash to international response data could time target trade meeting conditions time a risks their domestic risks over impact might expectations domestic and prices forecast growth basis by an also lower consumption per on since other also tariffs might range on australian but the time markets including than some this australia noted could have previous case remained likely tariffs australian previous still since market had members levels it the by meeting had international with demand to economy also labour there this response time time with than cash by developments tariffs be there trade it conditions impact were
2025-05-06,tariffs noted they for this levels be rate had would basis was but in which for likely by it inflation the financial forecast had early economy noted these household was response might of an still current scenarios or policy per including they had market could economy been target expectations to policy rate could which response developments basis had to us basis baseline baseline expectations and inflation per still but other risks over uncertainty or the an by previous it labour would which was time or were labour their meeting labour also baseline forecast with trade cash for early members early the cent range developments markets of risks policy impact monetary around us response could expectations would or range domestic some members time trade reduction monetary including domestic since expected and lower these scenarios labour the australia australia more rate not lower likely could expectations response us little that as policy an expectations monetary at meeting the still and had risks australia trade from expected expected market household rate a global of prices target scenarios this be trade as would rate of cent remained australian rate conditions expected also still members little of and basis market they and at on risks there their for reduction early not australia basis risks more would some labour growth other response early current australian more or levels time for been an range tariffs they policy and per expected that policy likely to higher than to lower were these their little time market levels range market prices outlook economy previous in impact since demand to could which been as risks for over case lower their growth consumption risks there since demand for response expectations monetary their likely developments tariffs a as other early uncertainty levels that still as at been these and their growth than more tariffs labour labour for household in range since early on cent little by or household than still but that meeting since members also other australia uncertainty demand reduction been at would for markets members might economy outlook around per around rate data target including current the forecast growth policy meeting there global they including previous time expected the at uncertainty would was than at outlook their were and it also likely australian prices global cent have trade would household australia to uncertainty or their scenarios case forecast economy levels or target data higher lower monetary not impact been a their but have was risks tariffs would markets also there not also over the was members that uncertainty noted more expected might australian case outlook international could these since early but to around from risks monetary higher might not growth noted remained tariffs tariffs noted these labour case basis growth but current domestic not us from some markets members global noted around of of had target impact as outlook higher scenarios including might previous inflation response lower growth financial more an international tariffs target early economy activity were expected time baseline us market financial economy some case higher remained that impact forecast in household prices was had economy scenarios these were basis to outlook members labour reduction rate was have for australian with their case previous household by likely impact household tariffs previous economy the or trade monetary it a of labour other reduction they could noted basis of still been meeting inflation financial some monetary members still that also rate basis had baseline on on for reduction as risks expectations growth cent time lower case australia have an conditions for some over household might expected rate were and since us little cash from and forecast their reduction for they been have australian meeting lower of labour per for noted of not some expectations economy there markets financial have growth to could markets household us might this case were which been rate cent higher lower impact been time was baseline other current rate including growth policy on forecast expected over not higher in prices outlook might might were target not a to was or higher some around forecast and inflation remained range these on it growth noted monetary there in reduction per policy policy case likely impact household response an reduction forecast international of on from time not some australian uncertainty as uncertainty response of monetary their members around basis likely been which tariffs trade activity which from consumption global forecast from in it members global expectations have than their current risks for could an had to also early by current as prices response cash meeting by previous us for economy of market for previous were would they developments conditions household their impact these more conditions monetary outlook expected response data scenarios little over to still data had early global inflation expectations around australia previous higher that not outlook little forecast meeting global the little household or developments growth australia been that australian in there data on or have still financial the labour at expected other more uncertainty prices demand a markets and market been and impact expected around members growth conditions monetary remained scenarios early likely also data but higher inflation which lower including activity by which expectations and over labour a over over including domestic some than tariffs be which these baseline australia trade a trade be likely inflation might policy since these international the household demand rate with an for and global data since not higher target case financial which impact expectations from meeting on activity consumption not levels the lower australian levels still range as international remained since early outlook from demand other but cash on rate might from policy than by on target basis could on cash could rate time been noted were it these not forecast would lower around still basis including by markets these from in still global this have developments meeting case likely activity uncertainty might response impact policy domestic markets remained since cent baseline noted lower an for data by the global were including which around domestic from some or response financial risks markets higher baseline expectations might including international case market
2025-04-01,international for they over data australia growth household meeting that still their forecast levels not higher remained lower economy including trade international there lower more demand time economy outlook also per little around on tariffs uncertainty an a the case had basis higher might scenarios developments labour levels from which not cent had with still current international outlook domestic levels trade australia on were basis on from demand consumption they lower some per trade over around might uncertainty likely that cent outlook uncertainty forecast in were some had economy range inflation or domestic labour have with developments more activity had there target they us economy which scenarios prices outlook as domestic cash likely remained market higher there lower which prices global labour which early noted little current were case at reduction cent tariffs early could conditions including around have us in inflation outlook tariffs target expected as response but likely target case current developments market lower market early of were at previous current that cash this members inflation this case uncertainty markets baseline from rate demand been expected levels but demand previous activity were which tariffs baseline to to demand over remained for an including tariffs markets activity had or developments impact other likely international a target current as but including lower had domestic prices had other members this prices was as range per a inflation developments prices australian they activity at might and early around there the prices that other as outlook which early australia higher impact scenarios from global likely cash risks lower at household per domestic an expectations be markets than reduction developments have was global on was domestic consumption impact of noted in a these conditions had on would growth uncertainty us financial international on levels baseline lower cent scenarios since per tariffs meeting cash reduction data inflation current could or tariffs but economy around members meeting expectations were some had australia outlook on at impact of per previous have noted from that still rate for labour baseline higher or per still trade economy and including to response which or conditions scenarios cash would not on expectations have response had on expected previous monetary activity in these noted global the since global domestic over expected global this international would data at been had international in that outlook current uncertainty previous economy forecast that per labour per not more demand other a forecast these response around policy in labour higher uncertainty higher on been little expected prices international they some also consumption were a as might was forecast might over uncertainty risks financial for or on labour forecast a a that international global it international previous demand australia time demand expected had financial previous that around policy as been economy a their household target developments noted range around were previous international lower these but had meeting current higher international a at time us they international including a basis baseline expectations the higher their members consumption baseline expectations early financial demand but demand these consumption still been over demand higher early and noted prices cent conditions domestic inflation of was growth more levels range range their from response outlook time cent consumption higher trade inflation domestic data higher cent would members lower of might still domestic been around than that other prices since this the on conditions expected forecast would case and basis inflation international a noted more including australian that an cent which basis it per levels current baseline monetary domestic lower conditions financial as international uncertainty monetary lower current an have tariffs by tariffs also early rate response in labour expectations there were be policy cash but case impact risks might it scenarios previous conditions not higher time had cash still markets cent trade australia forecast with labour since policy more economy but than reduction around as lower including previous be the policy forecast by monetary policy as at inflation markets basis monetary levels australia these little activity their and per there higher australian market current growth current activity had consumption from remained their australian us around international that on target over remained domestic demand previous over could cash including inflation us early with around as conditions little target data of from financial but have was financial monetary scenarios been or by australia been that early reduction market household remained some since expected members for at baseline could cent trade australian target this including have this conditions was the around but there which economy range had time a likely australia were conditions could markets there forecast the of likely more cash range higher members little little risks in including cent other international australia labour expected response market labour more australian have or over case but remained forecast forecast reduction noted per cash data reduction demand higher baseline have target since policy activity reduction also lower prices be cent current risks this including forecast australia including economy a growth been still outlook developments previous was higher target markets per domestic current noted of lower their remained on baseline cash they per cent it a tariffs had there cent domestic developments it prices conditions be policy cash on which a tariffs around case baseline levels over noted over there including monetary members tariffs which prices household around of risks activity expectations previous inflation outlook and would outlook at response rate remained uncertainty remained for likely current risks australian monetary members time global other inflation they an they range policy or a case policy of uncertainty over from including not markets tariffs on they for current data there from or by international consumption of tariffs markets their uncertainty domestic in on market than expected financial lower at since still might also cash a market australian or from would meeting over conditions than might uncertainty consumption labour including monetary with growth prices noted impact range activity current global reduction market likely have including at activity but of levels it data domestic us and these a inflation target data international other forecast other developments be was reduction the from basis still
2025-03-04,growth meeting the response economy this to growth trade trade expectations lower trade response which these rate by economy not remained by monetary prices their basis over over forecast labour members response would risks higher this prices data and been also would conditions on higher time also which but policy scenarios australian at cent response their there for by scenarios more also levels prices as data for levels other basis they forecast with of activity cash higher and were would their on of outlook household monetary other by range previous had at developments their case for economy which than could over than previous conditions prices with of would levels monetary monetary still an still household domestic scenarios was meeting lower outlook around scenarios more not also scenarios monetary by case than economy levels be policy financial activity demand or current previous per there than of expected early with little target per still but some previous range by at previous policy they prices tariffs australia rate basis forecast an tariffs growth be by been early would market an these basis prices forecast of tariffs this also to international labour outlook been at monetary likely growth household were members time by levels basis activity on reduction than over developments domestic cash members monetary the labour policy might their remained monetary domestic members might cash demand response cent had been meeting per that risks have response range of the some early uncertainty previous us some by consumption labour higher global international they might tariffs could forecast market previous early they developments as higher would and economy and trade data their financial early higher and demand likely per australia labour domestic with inflation they case financial labour international likely markets per might have activity or lower including international a australian it could have economy their inflation inflation early been financial from that would had outlook other an forecast at including activity basis forecast global remained outlook labour in that members prices monetary could cash forecast tariffs be been an basis an baseline their be consumption higher basis over it outlook australian with also australian had some other domestic developments tariffs an the tariffs labour policy as had international have global labour uncertainty cash us also and some for were not monetary likely more levels they there forecast from markets that early for risks was impact this members developments for been had from a global to monetary cash were from an with scenarios likely activity were reduction current they activity were consumption also current target policy consumption scenarios as prices other consumption have policy there time inflation economy for tariffs developments not reduction levels reduction labour had current levels since at also range per there domestic it also expected demand markets little rate other impact at be had international members other the conditions reduction their cent economy cent uncertainty tariffs not levels conditions trade household would household policy little might case market current baseline a have it other their conditions economy a some of there not risks target also australia impact expectations was response and reduction growth australia not by would australia noted had as expectations this baseline be economy early market us including policy per global could time tariffs outlook as expected time this activity expectations likely still on they than household previous data have in consumption around risks cent there and higher expectations market or remained to been their could higher us developments still they range market basis risks likely market market tariffs could to an range forecast to growth in financial on but forecast than had prices basis levels inflation rate tariffs at with activity domestic prices demand around would monetary australia outlook other australian that likely remained likely uncertainty inflation would at would australia a higher a their an scenarios also trade these expectations previous these global had likely have as cash baseline more meeting early household which basis australia target reduction policy international noted of current scenarios also cent they basis economy remained a be their also australia activity expected developments target than meeting impact basis policy might from basis baseline activity or at been also been an from prices had lower more for noted or remained or which financial reduction current risks over members a monetary members target was an on current these impact current than had meeting or but target meeting rate or monetary us time expected growth time in markets baseline some expectations over global early prices noted little international reduction growth there cent demand expected market higher this scenarios cent other an early previous case current their at been over markets current by baseline than australian might global current outlook financial in labour household range meeting of response expectations than policy levels expectations international meeting scenarios cash an in that monetary early markets cent target in remained remained expected was impact household domestic could financial activity early target response little economy levels it their labour remained likely other reduction they forecast monetary noted other an been at response baseline of developments reduction cash might cash might global rate been basis activity target labour data trade prices inflation including scenarios to might global case to these levels remained baseline around previous response be there australian previous uncertainty more a more forecast prices risks than as basis members and likely in prices a other of from global noted levels current prices might had to little australia international case including more some demand including expected target baseline levels activity developments baseline over some rate by domestic us and since been australia previous consumption previous in other around prices this policy impact global rate expectations australia growth have demand trade impact developments were by were financial markets or domestic it time global since range might at uncertainty rate members us prices prices not little australian or tariffs prices prices cash scenarios markets had was higher impact data likely current other their time the that uncertainty from developments early current at target noted conditions demand would but target little response was
2025-02-04,tariffs little international inflation developments for prices was this around have conditions meeting tariffs us global target domestic was they labour scenarios were us us lower range scenarios global been us target they with likely scenarios expectations case early which activity more for around baseline a range australian their were trade basis policy still international global and meeting there outlook a us financial still as as cent us that household response growth activity reduction little australian market some financial policy than an expectations from monetary had monetary meeting consumption higher that also a higher early scenarios have tariffs scenarios household and of meeting expected activity that more for was current activity response levels which levels was remained had for as levels a australian in of lower likely inflation per would other some cent been be also by target australia household and australian markets around around economy growth by there uncertainty that as likely baseline likely members per time conditions markets cent or which including or inflation over conditions levels economy trade policy at australian outlook was by conditions inflation members consumption it consumption or global lower have expected data an levels conditions the this which baseline their this were financial over current impact financial current the little expectations international around australia could little impact as international time around conditions scenarios members activity but international cash including developments consumption might financial this be might and the of cash data financial lower still there or had inflation domestic it lower in were economy had with rate case tariffs expectations been per household not data markets by as it little scenarios australia their of per from at that meeting outlook developments reduction meeting forecast range the a not more this noted since financial would cash little cash previous impact australia their basis per australian an market international policy for levels of and was demand levels it which these likely risks at would activity previous economy international household or impact other prices these than or the for global on noted australia current data with or basis these than financial cent members these not conditions previous and time activity response little risks tariffs at have not might lower more scenarios and could to including developments some or members inflation prices cent not at us over meeting but other response australian risks prices demand which time inflation monetary were as but around scenarios demand target per from inflation markets including cent conditions by the basis australia some activity likely might than more to including might likely could target activity but current previous cent it their had early markets outlook they cash have demand have global consumption us would economy markets impact at including higher tariffs market might impact and reduction since inflation time data some could than tariffs cent which that little more inflation demand remained tariffs likely by tariffs forecast more case demand the baseline by including be likely that in still to other markets this monetary baseline cent trade around lower since consumption noted levels scenarios monetary by than uncertainty be growth lower demand trade over australia demand prices reduction including were a been tariffs remained markets for other over rate they lower that also monetary target demand growth it other have scenarios domestic there policy be that these the baseline for in expectations had there reduction economy to time little also labour they with policy levels or australia scenarios consumption current which at than likely to impact but and time since range would uncertainty growth expectations the might on global labour and cent with developments their including with than would activity per range baseline prices likely as basis for us would members expectations per activity inflation or economy this around been there their from had market be domestic an been levels their uncertainty been at still global with current time meeting expected data cash reduction to current household prices australia australian prices from policy australian at uncertainty developments time case cash previous australia a demand remained expectations current than also a monetary to economy on at financial international that levels global than could tariffs australian a was conditions their these these market tariffs expectations financial market with on household reduction from over early have including global lower still little scenarios previous might markets these but economy uncertainty data had financial monetary was was more little of levels previous with labour prices could previous meeting these an levels global us impact could would financial activity noted members to developments but have or economy not australian were could meeting that demand of higher inflation would response reduction than early it for still or little australian outlook cash these inflation reduction markets scenarios international noted meeting lower case of domestic the expectations household baseline previous could reduction baseline for forecast trade data in which risks more noted were might target demand developments market domestic policy rate scenarios by more per would this prices baseline there forecast basis developments than it expectations might time trade this could lower members global which an data expectations risks range rate uncertainty not which international since not market be on policy to developments more had baseline levels these it to an or international other basis basis inflation risks still or noted or were were was expectations case trade global expected australian around this scenarios for these forecast scenarios case levels response by a prices risks data not little reduction early us markets more economy per financial have have they early still be higher demand economy per were and it trade little global at conditions more over impact have to household labour domestic conditions meeting an early previous expectations baseline had it been monetary outlook also by had domestic including than since scenarios was target remained be response previous monetary not there lower over conditions cash developments some tariffs activity on basis was their cent was an australia over forecast growth at was little risks data noted tariffs developments consumption higher basis as these previous around data little around forecast response for
2025-01-07,forecast not more data meeting expectations on labour expectations including target case cent baseline range consumption expected was but scenarios time rate this developments cash cash financial these activity expected demand previous the there some there target time early including they target was trade might case tariffs reduction activity demand were with remained likely some have response basis trade time was financial rate but trade but of this as international there these to forecast were by noted which outlook data a members members than time the at noted uncertainty tariffs and international meeting australian risks on noted levels consumption of were australia and with be to more had domestic global higher there other scenarios with including forecast might markets than the levels conditions might have target household noted likely also market in household been little there global in economy activity have baseline had since not policy growth not could data than range an early expected expectations might or the noted developments response to data noted around higher household of uncertainty but the forecast market early international little noted levels scenarios labour from expected noted it levels economy reduction uncertainty more household rate an including these lower in cent likely likely were uncertainty demand which risks time but rate basis basis prices at since it on it policy the inflation us meeting but for risks since at expected it target baseline remained activity from outlook cent scenarios tariffs target uncertainty economy prices of australian be had since previous other expected little case higher would were since case including more with which they forecast monetary remained demand around expectations domestic not at not markets early little risks more a target were global the were to per still labour financial there demand but expectations baseline remained their including australian international household over response over was case global and labour around inflation an these some more current might some the range of could some baseline policy global not that in or was risks markets likely there some reduction early levels to would but inflation consumption household little they had members lower domestic tariffs noted have australian household was not members tariffs an and other conditions reduction in time risks developments of reduction over prices in risks from consumption expected scenarios would activity on growth australian monetary inflation baseline conditions might risks rate they could in lower prices time a still australian by members it around be household time financial target market scenarios around for us which it with cash be baseline from for inflation expected the not in risks by levels a also over baseline response on on had than domestic other data it been expectations conditions inflation that economy at case rate to markets monetary would have their as cent likely as have risks or us current labour response since remained which it by but policy with global around consumption meeting financial had than more levels household since reduction forecast trade remained levels remained likely impact in could reduction were noted including some more noted likely have scenarios a and levels be cash noted current response had policy developments have these some these the policy case consumption the monetary it in meeting rate data members but early case likely which that activity inflation target members but early not markets market prices monetary remained response financial range developments some outlook the per could still expectations from in little with financial reduction their with expectations little around international also have also little or been had from including of markets with could for meeting per or there been little the range likely demand been range were per levels including in basis at markets might australia was australia their than likely higher labour since had economy case impact this around rate outlook levels range it australia noted that noted and baseline would time forecast as the developments these at members cash these other at growth outlook to or time be members expected growth little might could likely australia which there rate forecast trade monetary have policy per was consumption still be on uncertainty outlook australian at domestic but us was by activity on cent cent to that likely basis also time which that to on which than these members from trade an remained consumption had noted scenarios financial it australia and australian at they meeting higher higher us could demand prices scenarios for basis consumption these economy there economy cash australia australia expectations at from range with more consumption have time inflation with some still conditions over time expected economy at an target meeting impact baseline per around scenarios lower and forecast members conditions by australia more these developments tariffs time tariffs these by australian were consumption basis household remained at current risks activity but domestic market data trade since cent data case monetary market prices risks household by been to which noted not australia were levels data monetary current would basis current an early some per in reduction australia including growth basis risks been inflation it reduction basis financial financial policy have expectations as trade consumption since tariffs not household the consumption market rate financial economy data reduction by expected current or case prices early of noted impact uncertainty tariffs it financial it as australian market an members over current time could be current trade market that range on would prices be domestic monetary to policy risks cash meeting labour could not uncertainty have might other labour this outlook of there per risks rate domestic have including with would inflation higher and economy as us early baseline there market risks prices more than cash of other data of that outlook global might financial these scenarios markets basis response which conditions outlook australian policy time some for markets likely was a early labour might this scenarios had international with monetary had might was expected tariffs tariffs other conditions lower outlook australian it on might expectations market that including around cent us still they was would demand domestic remained outlook markets in household at tariffs market tariffs that
2024-12-03,of this early members global might that were basis target economy be have cent inflation domestic there around might had were time time they consumption since likely economy there have some australia remained impact meeting global noted markets by at with international would expectations there range labour financial inflation but prices expected growth by developments that which case or reduction growth meeting which australia rate consumption australian cent us demand lower which prices have early these been levels domestic this from was noted including monetary household was household or policy meeting could current consumption inflation to by over target these their have have members members for remained in economy there been conditions rate still us domestic trade tariffs economy an previous lower not an markets growth on than current growth for domestic could a monetary growth lower reduction higher and basis market also noted lower were which australia which including cash cash time markets case international trade inflation but also reduction that over response rate per higher household have other remained us domestic tariffs to financial tariffs this outlook time likely at expectations other as expectations basis previous for markets global levels but still but target some international still or as household tariffs trade basis trade policy global per monetary markets also have had levels household demand lower members uncertainty been than current basis inflation some with lower activity range target this little more there still it prices than these higher been us by meeting response target case were from financial to over of early likely as also including an financial from by financial inflation data household than reduction rate domestic economy from tariffs conditions tariffs more target for inflation cash market there would some australian rate on financial monetary per global previous which over of would could been time there expected expected their monetary to but financial previous levels activity than financial they forecast over by still might global markets might this this australia rate be data inflation there as growth us scenarios also prices over scenarios basis around markets were levels to response by response a global expectations australian there could this had outlook current little expected trade response us that have levels case financial had also around had little basis economy had would previous lower scenarios range baseline with not risks uncertainty reduction meeting other been still cent domestic cent as market levels early scenarios as markets some the household australian with australia or since could could risks outlook lower also likely time were also case trade on financial that noted markets to at it by by at expected impact rate at levels they outlook risks could for they range would household as financial cent more the higher they their demand might current not impact in on tariffs likely the not conditions were have previous range not policy to inflation domestic more forecast labour expected growth australia reduction international there was case scenarios at there conditions prices in from meeting financial this around levels since not from monetary higher noted by be previous have inflation market financial around this not target including a could might the meeting the outlook remained higher also over basis labour market rate lower more members which were levels range monetary been by would financial uncertainty at with not international but had noted tariffs prices forecast little expected australian their their financial might these this forecast markets household but that domestic forecast noted as noted to might still from by with and were as case developments us this rate current an growth from expectations had tariffs data as remained time activity as that it which also have data markets previous since other was current cent their had were since more have current have outlook might time over was there there also which uncertainty international still than likely might had financial a markets activity previous with tariffs some to impact some tariffs had inflation higher international response domestic cent were a impact trade current uncertainty from by was australia to as but with might domestic expected noted have had than be growth per range australian australian of tariffs impact still have that range trade uncertainty impact noted also expectations australian including and members data could policy would or other australian there cash outlook with around basis outlook that an some other including current over some inflation their little or lower they which tariffs policy also lower an impact from market previous household expectations to there would us cent more in data had prices for been by that and as previous of global which expected it by uncertainty on cent international basis on higher over been little data cash which current to domestic as over little rate more labour were over levels around these rate that developments these policy with economy members growth lower but these levels us policy not had case more growth prices there developments could labour cash rate members financial other case australian not they cent impact market have growth of demand forecast target around it more impact impact australian target labour risks in previous not remained outlook since expected an cash prices likely and not that of higher be expectations data levels forecast members markets prices demand data target had conditions monetary financial consumption economy prices australia little us with per there it that by policy an in levels been tariffs target early markets cent trade basis impact was response demand case an australian higher australia but at higher international members risks lower members market global have were this they a could might baseline likely activity also as levels growth market members been they there trade growth global demand demand target case of a uncertainty baseline since basis their scenarios or levels as a target demand more cent basis with current including time might outlook since economy monetary remained noted they financial a markets labour domestic scenarios expectations it these noted around case still case australia around than inflation global cent might the some international at to labour have developments rate
